patch_size,remove_inv,step,t+2,t+4,t+8,t+16,t+32,t+64
1,False,2000.0,1.402141569915602,1.269311001347585,1.1764080775781383,1.068893629606632,1.0289527651099823,1.0183224807799822
1,False,4000.0,1.458595975878439,1.3126924443189134,1.2106618662178656,1.0893855545771676,1.0355016748350516,1.0192052354058354
1,False,6000.0,1.4436540705683427,1.3025365053832825,1.2017180185124983,1.0845410588124316,1.0297322635705806,1.0151443309460484
1,False,8000.0,1.4292945799468593,1.2914032008463903,1.1938580813665947,1.073573902951823,1.0241464561725382,1.013205399342547
1,True,2000.0,1.4698109405449955,1.3238856627399103,1.2233130854712517,1.0938460825044305,1.043289521670123,1.035341919588221
1,True,4000.0,1.4495251102804403,1.307950512115552,1.210306559638447,1.089860953479526,1.0371964236121538,1.032443684972662
1,True,6000.0,1.4628507970934563,1.32177530370451,1.2231535864680423,1.0968610435768733,1.0408652855233937,1.0322516424285488
1,True,8000.0,1.4498482998667175,1.3105243229402885,1.21305826259598,1.085323831647071,1.0294708639007293,1.016943130659688
2,False,2000.0,1.2596360384406737,1.214325682324502,1.1146899451865135,1.048076773178915,1.0252521332867726,1.0220341415952319
2,False,4000.0,1.2488046257998866,1.2204862626786974,1.1092124047877763,1.0506819420269693,1.01655108618714,1.0145095034064464
2,False,6000.0,1.2592457823459096,1.220656887406322,1.1094529055770812,1.0563835812120725,1.0194594590316701,1.013819446424851
2,False,8000.0,1.2599820060755256,1.224066579859543,1.1085378535565429,1.0538102688357285,1.0156500869810847,1.011029063549941
2,True,2000.0,1.2473078108231874,1.2159888994043553,1.106933568340703,1.059728897139319,1.0268509325489774,1.068158321377151
2,True,4000.0,1.2484813194520552,1.213692974037879,1.1134387304673625,1.06328845757035,1.033333827245081,1.1068719870521926
2,True,6000.0,1.2443813413441374,1.217992111070123,1.1075113619168075,1.0701524807635119,1.0425702464471671,1.116915329910228
2,True,8000.0,1.249805178896605,1.2097194045769415,1.107243711623909,1.0618471952662667,1.0306141144119885,1.0738515375461597
4,False,2000.0,2.056576527355033,1.2681953804800978,1.1008460275864216,1.0577873628916745,1.0289213912021127,1.0265044198184075
4,False,4000.0,2.049354123752426,1.2870955034312983,1.100941719924511,1.0572505643023373,1.0192391408420798,1.0142366922989337
4,False,6000.0,2.0358726158303315,1.2730746448741483,1.0967144693247728,1.0590228182153223,1.0168485290793348,1.0144929746930622
4,False,8000.0,2.0421353952947467,1.2773181328199998,1.1026900431224471,1.0536774065935608,1.0160324075766916,1.0139664487854596
4,True,2000.0,2.0160642770574655,1.2618980998562264,1.094409986008731,1.0519540449213314,1.0169061846387752,1.0186484199303891
4,True,4000.0,1.9657079737325305,1.2761887062966968,1.1070142695352991,1.0531053466762368,1.01765763846873,1.028386451577665
4,True,6000.0,2.0202190519176404,1.2628190477592391,1.0947738651524486,1.0521375633383698,1.0151021623519372,1.0205078943728847
4,True,8000.0,1.9879561238211603,1.2621102705349505,1.1007673407730612,1.0486238055657013,1.0143234943418116,1.0167437641502073
8,False,2000.0,2.3710832166910385,2.2396086906615627,1.2995759572471617,1.114739392421891,1.0746636715873945,1.0399328472972427
8,False,4000.0,2.331461183795252,2.196313791562075,1.3185741445199979,1.1210645466465345,1.0646940965179148,1.0293287542535927
8,False,6000.0,2.3220171455646206,2.1938078152947758,1.2897331438110695,1.1181806689743634,1.0593652507183402,1.0242899245653099
8,False,8000.0,2.3146342241111344,2.193863404307452,1.303075647235824,1.1206705992899022,1.064380213515839,1.0258071907919668
8,True,2000.0,2.3014123191924054,2.154753677431247,1.2953958908970684,1.1146404338406046,1.0747168087344425,1.054941676492456
8,True,4000.0,2.2387386795810826,2.098151050032893,1.2811028453084259,1.1053980096296285,1.0642349014533268,1.0389930368085705
8,True,6000.0,2.305006614464529,2.1596854905137266,1.2843153666486293,1.1179898921502702,1.06441976196289,1.0313547460313468
8,True,8000.0,2.269471272733928,2.1381025552308635,1.2915677406587858,1.1178922491829786,1.0661329593249398,1.031489092600257
