lambda_val,structure,patch_size,Best LR,KF MSE,eval/score_t+1,eval/score_t+2,eval/score_t+3,eval/score_t+4,eval/score_t+5,eval/score_t+6,eval/score_t+7,eval/score_t+8,eval/score_t+9,eval/score_t+10,eval/score_t+11,eval/score_t+12,eval/score_t+13,eval/score_t+14,eval/score_t+15,eval/score_t+16,eval/score_t+17,eval/score_t+18,eval/score_t+19,eval/score_t+20,eval/score_t+21,eval/score_t+22,eval/score_t+23,eval/score_t+24,eval/score_t+25,eval/score_t+26,eval/score_t+27,eval/score_t+28,eval/score_t+29,eval/score_t+30,eval/score_t+31,eval/score_t+32,eval/score_t+33,eval/score_t+34,eval/score_t+35,eval/score_t+36,eval/score_t+37,eval/score_t+38,eval/score_t+39,eval/score_t+40,eval/score_t+41,eval/score_t+42,eval/score_t+43,eval/score_t+44,eval/score_t+45,eval/score_t+46,eval/score_t+47,eval/score_t+48,eval/score_t+49,eval/score_t+50,eval/score_t+51,eval/score_t+52,eval/score_t+53,eval/score_t+54,eval/score_t+55,eval/score_t+56,eval/score_t+57,eval/score_t+58,eval/score_t+59,eval/score_t+60,eval/score_t+61,eval/score_t+62,eval/score_t+63,eval/score_t+64,count
0.84,dense,1,0.0003,1.8555114269256592,1.1309586088751262,1.0572072508483865,1.0384913193165468,1.0253794852526812,1.0213148112506425,1.0155349735383892,1.0175219367098443,1.0148281542838875,1.014892485123922,1.0157247572156947,1.0118910269276318,1.0105147131346237,1.0114211988112174,1.011097431457564,1.0134185048827793,1.013277955490067,1.012606869278919,1.0103771251868099,1.014210109286875,1.0122925962649145,1.010603430351983,1.0142651788348482,1.0124735913754623,1.013507928780578,1.013958040962919,1.01229447535359,1.0140199600339206,1.0117916405126912,1.0130359721026556,1.0110135976720813,1.0126420740773385,1.012591442000092,1.0123501321506994,1.0097569969240152,1.011146949828467,1.0135341663269257,1.011662925914145,1.0109282216635558,1.0126565609165108,1.011041621312052,1.012265692212999,1.01338760045886,1.011447997351276,1.011570957118993,1.011273589245221,1.0133162737791641,1.0109475625121798,1.0127388058485023,1.0121943683907884,1.0113719697417105,1.0113634409364227,1.0122410518884797,1.0129892290198486,1.0118462336028777,1.013977051472663,1.0118274962342109,1.0145588690223437,1.0102745599098801,1.0124655984566933,1.0108599753093617,1.0113449688413034,1.0138560555118232,1.011367125820609,1.0118617734170607,2
0.84,dense,2,0.001,1.8554610013961792,1.0190687105287406,1.0372410712720124,1.0542699530866368,1.0202565828616081,1.0247152438593108,1.01941338057271,1.020358891134069,1.016269848267083,1.0197011844296735,1.0178204512739568,1.0140479011352541,1.0132675668639037,1.015749625119438,1.012854565121666,1.0167439137062573,1.0148507004387208,1.0153757410865012,1.0115898501432092,1.0176181565287572,1.013897638209303,1.0141728444744817,1.0153289043961256,1.0149226503757656,1.0147951179101744,1.0156636051883834,1.0140457460484535,1.016801219649977,1.0128495166484093,1.0156552907790255,1.0135630918486478,1.014706887059059,1.0149782553690194,1.0154959188757737,1.012242949985315,1.0138244997891377,1.0156636091003646,1.0157177910746824,1.013168594371629,1.016949101497298,1.0124142593726106,1.0138399439899661,1.0147411990834543,1.0156805962803657,1.0123983708608362,1.0151405817945192,1.0154001077788402,1.0139000916246181,1.0141220493589302,1.0140183799030804,1.012506723511292,1.0139865077388843,1.0140067244677433,1.0159482747859692,1.0123376232268928,1.0185982242829863,1.0124844630285124,1.0181770404722015,1.0112321127629007,1.0151894716600143,1.0126283366583162,1.013835380164855,1.0159458891397661,1.0137149704583317,1.0131848114553792,2
0.84,dense,4,0.0001,1.8555114269256592,1.9643206805063338,1.913593631568371,1.072695612803248,1.0410929498588426,2.0536353383034456,1.0676008556066956,1.0339138774422238,1.0191137512688808,1.0773266637591035,1.0408224930526275,1.0178422834845906,1.0149687150343474,1.0451741927758096,1.0253220815043187,1.0199433390943073,1.016459587654301,1.0333857954298482,1.0204263773023636,1.0194563373044225,1.0158780840872783,1.030759385892122,1.0232015358585131,1.0175006731514018,1.01569554908078,1.0321716713010611,1.019447308343171,1.0198968813361837,1.0140112654658489,1.0253571726827142,1.0214858236216964,1.018717800969876,1.0153546456917524,1.0296446742468042,1.020032040416069,1.0158128121435657,1.0173476413991023,1.0305581613740085,1.0193574277146715,1.0192139362411736,1.014227892450898,1.0298810927674853,1.0223517248645688,1.0166345963342145,1.0145520445656495,1.0280211299471032,1.0228252642557794,1.0162303745862054,1.0148996651794724,1.029392916061532,1.0213154323072786,1.0179118514097478,1.0160716330934112,1.0265650877632777,1.019596091170389,1.0198109216693576,1.0158358022517082,1.0296620631677247,1.018768327211471,1.0191863071629097,1.013935629749522,1.0249173535721336,1.0218064864731045,1.0169091650327697,1.014718822867391,2
0.84,dense,8,0.0001,1.8555850982666016,2.1280568766262293,2.0356738549048696,2.0200076576079806,1.9979672756471762,2.001659029139441,2.0133181785796177,1.0814951508912864,1.049157747732628,2.0077956491267925,1.9953725321482647,1.9944110534365875,1.9955109007212455,2.015007981785494,1.074513637412913,1.0430989532986261,1.027300245922882,2.0126228630056757,1.970291788442411,2.0102020904087388,2.0298522763407005,1.0619549790449803,1.0424150338553373,1.0258035204721712,1.0258796862589155,1.9889416481362896,2.0124549372530955,2.058486640277387,1.0711891484423455,1.0444255185936355,1.0243274186577827,1.0267811393184938,1.026050151561803,2.0472885693367022,2.0413431710546304,1.071018292554981,1.041923292136366,1.0266338353534405,1.023705122244825,1.0245225850458977,1.0235207548937069,2.086543694702171,1.0778070738994043,1.0427322109543602,1.026473912245864,1.0256997169433277,1.0257020093670568,1.0254121936207203,1.0229147923169277,1.0747120686405958,1.046684790735108,1.03205100797827,1.0262934241679025,1.0236166633352757,1.0225660316979872,1.0301528436259395,1.0235713945074105,1.0616155467736323,1.039364653368074,1.0300250639760742,1.0247695060912716,1.0252798685419884,1.0280825313676547,1.02795329227781,1.025065705086247,2
0.92,dense,1,0.001,2.2689362168312073,1.2718130222121504,1.1466982761924518,1.1055602217407783,1.0793514268283206,1.0645461624685746,1.0505999062563522,1.0506850880517429,1.0402323350064304,1.0373836440262274,1.035634151050428,1.0253429373844227,1.0205090297318877,1.0169008761038427,1.0137564290459666,1.0159468941652428,1.01481815055501,1.0133352246314276,1.0104095518633085,1.0138134135086023,1.012176072594806,1.0111163340321374,1.0126074314941604,1.010952580116714,1.0114650396075067,1.0119245547106428,1.0106633353103023,1.0119946282242103,1.0099371606835716,1.0120070905540257,1.0107869871920325,1.0128372150674434,1.011349944284543,1.012207156499434,1.0091178006458204,1.0106198217018796,1.0123471040892031,1.011246592101173,1.010271937845886,1.011872811723593,1.0105002881440497,1.0108404121048717,1.011688936643722,1.0105262789471543,1.0100095749371372,1.0105296654802531,1.0117283085019415,1.0100988217069686,1.0119140814844783,1.0103263447557453,1.0107534151903876,1.010599020288641,1.0108847116958355,1.0116658635344118,1.0109754767485835,1.0119241948934872,1.0103905335345464,1.0129908788786908,1.0089502470138618,1.0116941421462124,1.0097452062025616,1.0111097546408745,1.0119564734187798,1.0100463584673909,1.0102531996108894,2
0.92,dense,2,0.001,2.2689355611801147,1.0263829377967206,1.0889308638502029,1.0978587469744951,1.063099685245458,1.0479734092670006,1.0626162895175204,1.0396852709927615,1.0315339765008757,1.0377447219825515,1.038892876601963,1.0235807678661946,1.0227983600512833,1.0247797940829444,1.01921227485945,1.0263803484003613,1.0223476877888475,1.019396142560229,1.0189667009336105,1.0245807394365527,1.0200844829381808,1.017995919366704,1.020611731307405,1.0204047579808062,1.0186611883043455,1.0196286509345132,1.017613124743129,1.0208100449820192,1.0184795816886698,1.0193471335512059,1.0181443360618148,1.0205322219308577,1.0192983783287313,1.0193082172803989,1.016145811997882,1.0194012365192133,1.01677794725799,1.0209954250309705,1.0177605790287116,1.018463128961482,1.0171828992082839,1.0161968723165682,1.0186369584496489,1.01867904251023,1.0191705464087693,1.017232781650398,1.0183536602646472,1.0165547260591967,1.018777591930581,1.014525821011043,1.0162823186197305,1.0176786845169066,1.016703957644521,1.0182867088983159,1.0173580363577477,1.0177263682729794,1.015926676939419,1.0172355377395013,1.0153899521990268,1.018215228734285,1.0169503499481896,1.0164948785123618,1.0181221639340654,1.0171086071838176,1.0150093707944117,2
0.92,dense,4,0.0001,2.2690224647521973,2.0096727487880823,1.9326596336694883,1.123078357873764,1.0904117805339264,2.103526381508651,1.1179235179612095,1.0547228474405619,1.0312056978350492,1.1352928618507343,1.0770235097041834,1.0287722957926047,1.0223855858103514,1.0696645709631907,1.0349435376156253,1.0266168400053213,1.0207675780691288,1.0416462334396597,1.027282295672735,1.022092965202046,1.014639985111957,1.0386841084403025,1.0251401133661795,1.015922284934481,1.0135488835331183,1.0393034780883421,1.0191185117910782,1.018031034619793,1.0126506160819617,1.0283286550970936,1.0220095692650608,1.0188277949107853,1.0145521315198835,1.0312617041802894,1.019937278156208,1.014013642257844,1.0144989615556885,1.0339841440147595,1.0209851995795756,1.0192988637443259,1.0132441007948119,1.0289206570338,1.0230398046027438,1.0159324010560788,1.0133591590352002,1.033871079520337,1.0252312538199941,1.0165466570826416,1.0143932094197088,1.032403285037641,1.022586361012714,1.0171377966801776,1.0146009133336578,1.0310947481480677,1.0234452103445943,1.0170042977786686,1.0130992149901392,1.0331136729616297,1.0208005053343363,1.0189988140542825,1.012498013572433,1.0305476684188974,1.0258030916827552,1.0173131931959485,1.0139542586416406,2
0.92,dense,8,0.001,1.950978398323059,2.1080589735095474,2.0356257005517473,2.0071517171715283,1.981882616031979,1.9792929047112835,1.9929318147590296,1.0760875441393334,1.051716924333943,1.973251152394495,1.9506278517618776,1.975241728678768,1.9594542109281647,1.962906998702334,1.0689603831008567,1.041638795834808,1.0340170192031026,2.0034954034750063,1.9996804899395817,2.009072478302937,2.038104258340778,1.062888568155813,1.0480668758190834,1.0354038478222682,1.0309693353960154,1.993798612744604,2.0058082793326086,2.07299064237826,1.0657697419772147,1.0415035911687562,1.0340526825888023,1.0337221966701355,1.0278631323146132,2.0360442147737916,1.99763545895243,1.0737785429696494,1.0463469419807525,1.0365016850603204,1.031753980188235,1.0271163509932892,1.030573434453296,2.0774834323389264,1.0770410990021269,1.0506908279615106,1.0331196294073757,1.0365689189520162,1.027962304223525,1.028827566115498,1.022461512516721,1.086677954502043,1.0439823899404712,1.0353317259510062,1.0326730111456466,1.0225917663270356,1.0278170954299068,1.0229355319356814,1.0178894190050058,1.054688961582018,1.035193529064806,1.031335768394901,1.0239923490992884,1.0284044916210373,1.020237389297782,1.0227219540006454,1.0166338281625051,2
0.98,dense,1,0.0003,2.8249136209487915,1.689384708086308,1.4608715187133985,1.370685511069401,1.3184868641824692,1.2860306765345733,1.2513047398435886,1.253655583569691,1.2153547007462964,1.2052653662290376,1.1885425284133124,1.15524458449228,1.128811462262557,1.1089590061641021,1.0907718579730927,1.0940340040446594,1.0841585806428113,1.0791747233621374,1.079705195164692,1.069672058703916,1.0637614942693814,1.0567293040811854,1.0475414894998298,1.0433979092871057,1.0419938450467252,1.0411894318819797,1.0412158447575344,1.041289088887385,1.0361035496515387,1.0395364165969079,1.0328224704519986,1.028961096347548,1.0264211664182237,1.0252331591684463,1.019519193867659,1.0211110451151741,1.0207072354203004,1.0225474714209977,1.0185306650858463,1.0201065592792449,1.0180082988949901,1.0164265692094179,1.0172554133700569,1.0135385146000908,1.0145493822477745,1.0151879464294056,1.0173453567344701,1.0127813657164872,1.0158922654589644,1.0124544639285276,1.0128488231748798,1.0125180682605868,1.0121812627756217,1.012874698213755,1.0105474504483922,1.0135520091148578,1.0111339569258377,1.0138388154496687,1.010646932488068,1.0129173004100593,1.0106100678274128,1.012217884066071,1.0133224169957251,1.0112285092748852,1.0112935298786425,2
0.98,dense,2,0.0001,2.824803352355957,1.0193970975575657,1.2595240502457155,1.1982664388450794,1.2275944961955232,1.0991848445317924,1.2266545396053186,1.087027596868074,1.1127975818511737,1.0874586045571952,1.1435129353971558,1.0431320820387284,1.0567190396555635,1.067698235497876,1.06288286048526,1.0551924252704672,1.0530997187809295,1.0417752225356653,1.038009967929833,1.0648194360754104,1.0503960942333765,1.0301337834766233,1.0294334499236295,1.0364671243500188,1.0274214968938518,1.0323970165465952,1.0313370360714607,1.0268050712078005,1.0202432193021616,1.0310318385962467,1.0267917483272804,1.0223137008434855,1.0161495575208228,1.0256662203127256,1.0170855496328621,1.020909222689677,1.0176413706666767,1.0214857587170973,1.015773568403106,1.0236726797305873,1.0169929405312241,1.0157328003206962,1.0170147037141741,1.0190149391679153,1.0144630010832723,1.0177889087357213,1.0176982128921104,1.0161268093232398,1.0160578761994672,1.0140874901773154,1.0159153519270538,1.015754455219552,1.0138218368637426,1.0173005676591205,1.0151670238451371,1.0199293764610071,1.013675678407412,1.0146739026014178,1.0137001891395667,1.0176094328407101,1.0111488464587932,1.0151820031521768,1.014987334762118,1.0152341595728822,1.0129846105715865,2
